Butikk,Bonus,Link
ARKET,14% Rabatt,https://studentkortet.no/rabatter/mote/klaer/arket/
Acer,Spar 5%,https://studentkortet.no/rabatter/elektronikk/data-programvare/acer/
Adlibris,Spar 5%,https://studentkortet.no/rabatter/boeker/pensum-rekvisita/adlibris/
Adobe,Spar 40-60 %,https://studentkortet.no/rabatter/elektronikk/data-programvare/adobe/
Aftenposten,"3 år for 300,-",https://studentkortet.no/rabatter/boeker/aviser/aftenposten/
Aktiv365,Spar 1440-,https://studentkortet.no/rabatter/lokale/bergen/aktiv365/
Amor,Spar 22%,https://studentkortet.no/rabatter/velvaere/erotikk/amor/
Apollo,"Spar 500,-",https://studentkortet.no/rabatter/reise/hotell/apollo/
AtlasVPN,Spar 85%,https://studentkortet.no/rabatter/elektronikk/data-programvare/atlasvpn/
BAR,Spar 50%,https://studentkortet.no/rabatter/lokale/bergen/bar-3-bergen/
Babyshop,Spar 10%,https://studentkortet.no/rabatter/mote/klaer/babyshop/
Balkan,Spar 10%,https://studentkortet.no/rabatter/lokale/oslo/balkan-pizza-kebab-house/
Bangerhead,Spar 10%,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/bangerhead/
Beauty,Spar 20%,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/beauty-mall/
Beckmann,Spar 20 %,https://studentkortet.no/rabatter/mote/annet/beckmann/
Bendvold,Spar 30 %,https://studentkortet.no/rabatter/lokale/kristiansand/bendvold-tannlegesenter/
Bergen,Spar 20 %,https://studentkortet.no/rabatter/lokale/bergen/bergen-mobil-fiks/
BergenFiber,"Spar 2 160,-",https://studentkortet.no/rabatter/lokale/bergen/bergenfiber/
Bergens,"3 år for 300,-",https://studentkortet.no/rabatter/boeker/aviser/bergens-tidende/
Bestått.no,Spar 25 %,https://studentkortet.no/rabatter/tjenester/annet/bestaattno/
Better,Spar 15 %,https://studentkortet.no/rabatter/velvaere/trening-friluft/better-bodies/
BliVakker,Spar 10%,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/blivakker/
Blush,Spar 10%,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/blush/
Bodystore,Spar 10%,https://studentkortet.no/rabatter/mat/helsekost/bodystore/
BookBeat,90 dager gratis,https://studentkortet.no/rabatter/boeker/annet/bookbeat/
Brando,Spar 5%,https://studentkortet.no/rabatter/mote/klaer/brando/
Brewshop,Spar 15%,https://studentkortet.no/rabatter/mat/helsekost/brewshop/
Bryggen,Spar 15%,https://studentkortet.no/rabatter/lokale/bergen/bryggen-hudlegesenter/
Brødrene,Spar 10 %,https://studentkortet.no/rabatter/lokale/tromsoe/broedrene-johannessen/
Bubbleroom,Spar 12 %,https://studentkortet.no/rabatter/mote/klaer/bubbleroom/
Burgerman,Spar 15%,https://studentkortet.no/rabatter/lokale/tromsoe/burgerman/
Byvoks,Spar 10%,https://studentkortet.no/rabatter/tjenester/annet/byvoks/
CDON.COM,35kr,https://studentkortet.no/rabatter/elektronikk/data-programvare/cdoncom/
CVapp,2 dager gratis,https://studentkortet.no/rabatter/tjenester/annet/cvapp/
Chillout,Spar 10%,https://studentkortet.no/rabatter/velvaere/trening-friluft/chillout/
Coolstuff,Spar 15%,https://studentkortet.no/rabatter/tjenester/annet/coolstuff/
Crispy,Spar 15%,https://studentkortet.no/rabatter/lokale/oslo/crispy-crust/
Curli,Spar 15%,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/curli/
CyberGhost,Spar 83%,https://studentkortet.no/rabatter/elektronikk/data-programvare/cyberghost-vpn/
Dagbladet,50% rabatt,https://studentkortet.no/rabatter/boeker/aviser/dagbladet-pluss/
Daniel,Spar 15%,https://studentkortet.no/rabatter/mote/accessories/daniel-wellington/
Db,Spar 15%,https://studentkortet.no/rabatter/mote/accessories/db/
Dentway,Spar 10 %,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/dentway/
Disney+,Spar 15%,https://studentkortet.no/rabatter/tjenester/annet/disneyplus/
Dyson,Spar 15%,https://studentkortet.no/rabatter/hybelen/renhold/dyson/
E.C.,Spar 15 %,https://studentkortet.no/rabatter/lokale/trondheim/ec-dahls-pub-og-kjoekken/
EMP,Spar 15%,https://studentkortet.no/rabatter/mote/klaer/emp/
Ellos,15% rabatt,https://studentkortet.no/rabatter/mote/klaer/ellos/
Elskling,Tilbud,https://studentkortet.no/rabatter/tjenester/strom/elskling/
Estrid,"Spar 69,-",https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/estrid/
Euroflorist,Spar 13%,https://studentkortet.no/rabatter/tjenester/annet/euroflorist/
Expedia,Spar 10 %,https://studentkortet.no/rabatter/reise/hotell/expedia/
Extra,Spar 10%,https://studentkortet.no/rabatter/velvaere/briller-linser/extra-optical/
FARFETCH,Spar 10%,https://studentkortet.no/rabatter/mote/klaer/farfetch/
Fabel,4 uker gratis,https://studentkortet.no/rabatter/boeker/annet/fabel/
Farmasiet,Spar 15%,https://studentkortet.no/rabatter/velvaere/apotek/farmasiet/
Feel24,"Spar 400,-",https://studentkortet.no/rabatter/velvaere/trening-friluft/feel24/
Fjellskål,Spar 20%,https://studentkortet.no/rabatter/lokale/bergen/fjellskaal/
FlexiSpot,Spar 10%,https://studentkortet.no/rabatter/hybelen/interior-belysning/flexispot/
Framsport,Spar 15%,https://studentkortet.no/rabatter/velvaere/trening-friluft/framsport/
Fredrikstad,Spar 20 %,https://studentkortet.no/rabatter/lokale/oslo/fredrikstad-tannhelse/
FreshCo,10% Rabatt,https://studentkortet.no/rabatter/mat/takeaway/freshco/
Fritidsbutikken,Spar 10 %,https://studentkortet.no/rabatter/lokale/bodoe/fritidsbutikken-nord-norge/
Fyri,Spar 10%,https://studentkortet.no/rabatter/reise/hotell/fyri-resort/
Fyrkløvern,Spar 10%,https://studentkortet.no/rabatter/hybelen/interior-belysning/fyrkloevern/
Garmin,Studentpriser,https://studentkortet.no/rabatter/velvaere/trening-friluft/garmin/
Gents,Spar 10%,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/gents/
Gina,Spar 10%,https://studentkortet.no/rabatter/mote/klaer/gina-tricot/
Great,Spar 10 %,https://studentkortet.no/rabatter/lokale/bodoe/great-gandhi/
Gymgrossisten,Spar 10%,https://studentkortet.no/rabatter/velvaere/trening-friluft/gymgrossisten/
Gymshark,Spar 10%,https://studentkortet.no/rabatter/velvaere/trening-friluft/gymshark/
Haglöfs,Spar 12%,https://studentkortet.no/rabatter/velvaere/trening-friluft/hagloefs/
Hair,Spar 20%,https://studentkortet.no/rabatter/lokale/oslo/hair-aker-brygge/
HelloFresh,Opptil 1625kr,https://studentkortet.no/rabatter/mat/takeaway/hellofresh/
Helly,Spar 10%,https://studentkortet.no/rabatter/velvaere/trening-friluft/helly-hansen/
Helsehuset,"Spar 200,-",https://studentkortet.no/rabatter/lokale/kristiansand/helsehuset-salis-fysioklinikk/
Holdit,Spar 15%,https://studentkortet.no/rabatter/elektronikk/mobil/holdit/
Homeroom,15 % rabatt,https://studentkortet.no/rabatter/hybelen/interior-belysning/homeroom/
Hotels.com,Spar 10 %,https://studentkortet.no/rabatter/reise/hotell/hotelscom/
Hunkemøller,Spar 10%,https://studentkortet.no/rabatter/mote/accessories/hunkemoeller/
Høie,Spar 15%,https://studentkortet.no/rabatter/hybelen/interior-belysning/hoeie/
ICANIWILL,Spar 20 %,https://studentkortet.no/rabatter/velvaere/trening-friluft/icaniwill/
IDEAL,Spar 15%,https://studentkortet.no/rabatter/elektronikk/mobil/ideal-of-sweden/
InkClub,Spar 10 %,https://studentkortet.no/rabatter/boeker/pensum-rekvisita/inkclub/
Interoptik,Spar 30 %,https://studentkortet.no/rabatter/lokale/trondheim/interoptik-brilleringen/
Interoptik,Spar 30 %,https://studentkortet.no/rabatter/lokale/trondheim/interoptik-sjoehaug-sande/
Inzpero,Spar 10 %,https://studentkortet.no/rabatter/hybelen/interior-belysning/inzpero/
Jacob,Spar 50 %,https://studentkortet.no/rabatter/lokale/bodoe/jacob-klette/
Jafs,Spar 10 %,https://studentkortet.no/rabatter/lokale/bodoe/jafs/
Javel,Spar 30 %,https://studentkortet.no/rabatter/lokale/kristiansand/javel-pub/
Jotex,Spar 15%,https://studentkortet.no/rabatter/hybelen/interior-belysning/jotex/
Kaikanten,Spar 10 %,https://studentkortet.no/rabatter/lokale/harstad/kaikanten-mat-og-catering/
Kinogavekort,Spar 8%,https://studentkortet.no/rabatter/tjenester/annet/kinogavekort/
Kinoklubb,25% rabatt,https://studentkortet.no/rabatter/tjenester/annet/kinoklubb/
Kiropraktor:,Spar 25%,https://studentkortet.no/rabatter/lokale/oslo/kiropraktor-aker-brygge-kiropraktor-klinikk/
Kiropraktorklinikken,"Spar 100,-",https://studentkortet.no/rabatter/lokale/narvik/kiropraktorklinikken-narvik/
KitchenTime,Spar 10 %,https://studentkortet.no/rabatter/hybelen/kjokken/kitchentime/
Kjøita,Spar 50%,https://studentkortet.no/rabatter/lokale/kristiansand/kjoeita-tannklinikk/
Klinikk,Spar 20%,https://studentkortet.no/rabatter/lokale/bergen/klinikk-hausken-bergen/
Klinikk,Spar 20%,https://studentkortet.no/rabatter/lokale/stavanger/klinikk-hausken-stavanger/
Kondomeriet,20% rabatt,https://studentkortet.no/rabatter/lokale/bergen/kondomeriet-bergen/
Kondomeriet,20% rabatt,https://studentkortet.no/rabatter/lokale/oslo/kondomeriet-oslo/
Kondomeriet,Spar 20 %,https://studentkortet.no/rabatter/lokale/bodoe/kondomeriet-bodoe/
Kondomeriet,Spar 20 %,https://studentkortet.no/rabatter/lokale/kristiansand/kondomeriet-kristiansand/
Kondomeriet,Spar 20 %,https://studentkortet.no/rabatter/lokale/oslo/kondomeriet-sandvika/
Kondomeriet,Spar 20 %,https://studentkortet.no/rabatter/lokale/oslo/kondomeriet-ski/
Kondomeriet,Spar 20 %,https://studentkortet.no/rabatter/lokale/oslo/kondomeriet-stroemmen/
Kondomeriet,Spar 20 %,https://studentkortet.no/rabatter/lokale/stavanger/kondomeriet-sandnes/
Kondomeriet,Spar 20%,https://studentkortet.no/rabatter/lokale/trondheim/kondomeriet-trondheim/
Kondomeriet,Spar 20%,https://studentkortet.no/rabatter/velvaere/erotikk/kondomeriet/
Kouture,Spar 10%,https://studentkortet.no/rabatter/mote/klaer/kouture/
Kvalitetstid,Spar 12%,https://studentkortet.no/rabatter/velvaere/trening-friluft/kvalitetstid/
Kör,Spar 10%,https://studentkortet.no/rabatter/tjenester/annet/koer/
L'occitane,Spar 10%,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/loccitane/
Lampegiganten,Spar 12%,https://studentkortet.no/rabatter/hybelen/interior-belysning/lampegiganten/
Lanna,Spar 8%,https://studentkortet.no/rabatter/hybelen/interior-belysning/lanna-moebler/
Leangen,Gratis,https://studentkortet.no/rabatter/lokale/trondheim/leangen-travbane/
Lenovo,Spar 5-10 %,https://studentkortet.no/rabatter/elektronikk/data-programvare/lenovo/
Lenson,Spar 20%,https://studentkortet.no/rabatter/velvaere/briller-linser/lenson/
Lensway,Spar 10%,https://studentkortet.no/rabatter/velvaere/briller-linser/lensway/
Levi's,Spar 10%,https://studentkortet.no/rabatter/lokale/nasjonal/levis/
Lindex,Spar 10 %,https://studentkortet.no/rabatter/mote/klaer/lindex/
Lyko,Spar 11%,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/lyko/
MM,Spar 10%,https://studentkortet.no/rabatter/velvaere/trening-friluft/mm-sports/
Maanesten,Spar 20%,https://studentkortet.no/rabatter/mote/accessories/maanesten/
Maria,Spar 10%,https://studentkortet.no/rabatter/mote/accessories/maria-black/
Miinto,Spar 5%,https://studentkortet.no/rabatter/mote/klaer/miinto/
Mister,Spar 15%,https://studentkortet.no/rabatter/velvaere/briller-linser/mister-spex/
Moon,Spar 20%,https://studentkortet.no/rabatter/lokale/bergen/moon-vinskole/
MyHeritage,Spar 56%,https://studentkortet.no/rabatter/tjenester/annet/myheritage/
MyProtein,Spar 30%,https://studentkortet.no/rabatter/velvaere/trening-friluft/myprotein/
MyRevolution,Spar 10 %,https://studentkortet.no/rabatter/velvaere/trening-friluft/myrevolution/
NAMO,Spar 20%,https://studentkortet.no/rabatter/lokale/bergen/namo/
NLY,Spar 10 %,https://studentkortet.no/rabatter/mote/klaer/nly-man/
Nelly,Spar 10 %,https://studentkortet.no/rabatter/mote/klaer/nelly/
Newport,Spar 12%,https://studentkortet.no/rabatter/hybelen/interior-belysning/newport/
NextGenTel,Spar 10 %,https://studentkortet.no/rabatter/tjenester/mobilabonnement/nextgentel-mobil/
Nextory,45 dager gratis,https://studentkortet.no/rabatter/boeker/annet/nextory/
NordVPN,Spar 70%,https://studentkortet.no/rabatter/elektronikk/data-programvare/nordvpn/
Nordic,Spar 15%,https://studentkortet.no/rabatter/hybelen/interior-belysning/nordic-nest/
Nordic,Studentrabatt,https://studentkortet.no/rabatter/lokale/oslo/nordic-padel/
Nordiska,Spar 8%,https://studentkortet.no/rabatter/hybelen/interior-belysning/nordiska-galleriet/
Norsk,"Spar 40,-",https://studentkortet.no/rabatter/lokale/bodoe/norsk-luftfartsmuseum/
Norton,Spar 57%,https://studentkortet.no/rabatter/elektronikk/data-programvare/norton/
Nye,Spar 15%,https://studentkortet.no/rabatter/lokale/trondheim/nye-hjorten-teater/
Nytelse,Spar 20%,https://studentkortet.no/rabatter/velvaere/erotikk/nytelse/
O'Connor's,Spar 20%,https://studentkortet.no/rabatter/lokale/bergen/oconnors/
OBH,Spar 25%,https://studentkortet.no/rabatter/hybelen/kjokken/obh-nordica/
Omio,Spar 5%,https://studentkortet.no/rabatter/reise/annet/omio/
Outnorth,Spar 10%,https://studentkortet.no/rabatter/velvaere/trening-friluft/outnorth/
Passionfruit,Spar 15 %,https://studentkortet.no/rabatter/velvaere/erotikk/passionfruit/
Permanent,Spar 15 %,https://studentkortet.no/rabatter/lokale/oslo/permanent-make-up-by-magda/
Personlig,Spar 15%,https://studentkortet.no/rabatter/boeker/pensum-rekvisita/personlig-almanakk/
Petster,6% rabatt,https://studentkortet.no/rabatter/mat/dyremat/petster/
Philips,Spar 25%,https://studentkortet.no/rabatter/hybelen/interior-belysning/philips-hue/
Philips,Spar 35%,https://studentkortet.no/rabatter/hybelen/kjokken/philips-personal-health/
Pierre,Spar 15%,https://studentkortet.no/rabatter/mote/accessories/pierre-robert/
Pizzabakeren,Spar 20%,https://studentkortet.no/rabatter/mat/takeaway/pizzabakeren/
Pizzaco,Spar 20 %,https://studentkortet.no/rabatter/lokale/stavanger/pizzaco/
Plukkselv,Spar 15%,https://studentkortet.no/rabatter/mat/helsekost/plukkselv/
Power,Spar 10%,https://studentkortet.no/rabatter/elektronikk/mobil/power/
Power,Spar 10%,https://studentkortet.no/rabatter/lokale/nasjonal/power/
Proteincompany,Spar 15%,https://studentkortet.no/rabatter/velvaere/trening-friluft/proteincompany/
Proteinfabrikken,Spar 10%,https://studentkortet.no/rabatter/velvaere/trening-friluft/proteinfabrikken/
Puma,Spar 20%,https://studentkortet.no/rabatter/mote/klaer/puma/
Racketspesialisten,10% Rabatt,https://studentkortet.no/rabatter/velvaere/trening-friluft/racketspesialisten/
Ramsvik,Spar 25%,https://studentkortet.no/rabatter/lokale/bergen/ramsvik-og-ramm/
Reforma,Spar 8%,https://studentkortet.no/rabatter/hybelen/interior-belysning/reforma/
Revolut,Få 300 kr,https://studentkortet.no/rabatter/tjenester/%C3%B8konomi/revolut/
RevolutionRace,Spar 15%,https://studentkortet.no/rabatter/velvaere/trening-friluft/revolutionrace/
Riviera,Spar 20%,https://studentkortet.no/rabatter/lokale/oslo/riviera-restaurant-og-bar/
Royal,Spar 10 %,https://studentkortet.no/rabatter/lokale/bodoe/royal-sko/
Rustikk,Spar 10 %,https://studentkortet.no/rabatter/lokale/harstad/rustikk-harstad/
Rødtvedt,Spar 20%,https://studentkortet.no/rabatter/lokale/oslo/roedtvedt-tannhelsesenter/
SAFIRA,Spar 15%,https://studentkortet.no/rabatter/mote/accessories/safira/
Sabrura,Spar 10%,https://studentkortet.no/rabatter/lokale/bergen/sabrura-bergen/
Saily,Spar 5%,https://studentkortet.no/rabatter/tjenester/mobilabonnement/saily/
Sakser.no,15% rabatt,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/sakserno/
Samsung,Spar 20%,https://studentkortet.no/rabatter/elektronikk/mobil/samsung/
Scandic,Spar 10 %,https://studentkortet.no/rabatter/lokale/trondheim/scandic-stiklestad/
Sephora,10% rabatt,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/sephora/
Shopping4Net,Spar 10%,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/shopping4net/
Sinful,Spar 20%,https://studentkortet.no/rabatter/velvaere/erotikk/sinful/
Skinsecret,Spar 15%,https://studentkortet.no/rabatter/velvaere/kosmetikk-pleie/skinsecret/
SkoMANI,Spar 5 %,https://studentkortet.no/rabatter/mote/sko/skomani/
Skogstad,Spar 20%,https://studentkortet.no/rabatter/velvaere/trening-friluft/skogstad/
Skolageret,Spar 10%,https://studentkortet.no/rabatter/mote/sko/skolageret/
SmartaSaker,10% Rabatt,https://studentkortet.no/rabatter/tjenester/annet/smartasaker/
SmartbuyGlasses,Spar 10 %,https://studentkortet.no/rabatter/velvaere/briller-linser/smartbuyglasses/
Smartphoto,Spar 30%,https://studentkortet.no/rabatter/boeker/annet/smartphoto/
Smil,Spar 50 %,https://studentkortet.no/rabatter/lokale/oslo/smil-tannlegesenter/
So,Spar 20%,https://studentkortet.no/rabatter/boeker/pensum-rekvisita/so-typical-me/
Soya,Spar 20%,https://studentkortet.no/rabatter/lokale/bergen/soya-restaurant/
Stenersen,Spar 10 %,https://studentkortet.no/rabatter/lokale/tromsoe/stenersen-frisoer/
Stormberg,15%,https://studentkortet.no/rabatter/velvaere/trening-friluft/stormberg/
Storytel,Spar 50%,https://studentkortet.no/rabatter/boeker/annet/storytel/
Strawberry,studentpris,https://studentkortet.no/rabatter/reise/hotell/strawberry/
Strikkia,Spar 10 %,https://studentkortet.no/rabatter/mote/annet/strikkia/
Studentkortet.no,Info,https://studentkortet.no/rabatter/tjenester/annet/studentkortetno/
Surfshark,Spar 82% + 15%,https://studentkortet.no/rabatter/elektronikk/data-programvare/surfshark/
TGI,Spar 20 %,https://studentkortet.no/rabatter/lokale/bergen/tgi-fridays/
Talkmore,Mer data,https://studentkortet.no/rabatter/tjenester/mobilabonnement/talkmore/
Tannklinikken,Spar 15 %,https://studentkortet.no/rabatter/lokale/trondheim/tannklinikken-dent/
Tannlege,Spar 15 %,https://studentkortet.no/rabatter/lokale/bergen/tannlege-bjelland-co/
Tannlege,Spar 20 %,https://studentkortet.no/rabatter/lokale/bodoe/tannlege-rune-normann/
Tannlegene,Spar 50 %,https://studentkortet.no/rabatter/lokale/oslo/tannlegene-vatne/
Tannlegene,Spar 65%,https://studentkortet.no/rabatter/lokale/oslo/tannlegene-i-bogstadveien-51/
Temu,Spar 30%,https://studentkortet.no/rabatter/elektronikk/data-programvare/temu/
Tights.no,Spar 5%,https://studentkortet.no/rabatter/velvaere/trening-friluft/tightsno/
Timarco,Spar 10 %,https://studentkortet.no/rabatter/mote/accessories/timarco/
Tonerweb,"Spar 100,-",https://studentkortet.no/rabatter/boeker/pensum-rekvisita/tonerweb/
Torgcenteret,Spar 10 %,https://studentkortet.no/rabatter/lokale/tromsoe/torgcenteret-parfymeri/
Trapes,Spar 10%,https://studentkortet.no/rabatter/mote/sko/trapes-sko/
Trenogmat,Spar 25%,https://studentkortet.no/rabatter/mat/helsekost/trenogmat/
Tromsø,Spar 10 %,https://studentkortet.no/rabatter/lokale/tromsoe/tromsoe-farvehandel/
Tromsø,Spar 15 %,https://studentkortet.no/rabatter/lokale/tromsoe/tromsoe-haarstudio/
UFF,10%,https://studentkortet.no/rabatter/lokale/bergen/uff-bergen/
UFF,10%,https://studentkortet.no/rabatter/lokale/oslo/uff-hamar/
UFF,10%,https://studentkortet.no/rabatter/lokale/oslo/uff-oslo-brugata/
UFF,10%,https://studentkortet.no/rabatter/lokale/oslo/uff-oslo-hegdehaugsveien/
UFF,10%,https://studentkortet.no/rabatter/lokale/oslo/uff-oslo-prinsensgate/
UFF,10%,https://studentkortet.no/rabatter/lokale/oslo/uff-oslo-thorvald-meyers-gate/
UFF,10%,https://studentkortet.no/rabatter/lokale/stavanger/uff-stavanger/
UFF,10%,https://studentkortet.no/rabatter/lokale/tromsoe/uff-tromsoe/
UFF,10%,https://studentkortet.no/rabatter/lokale/trondheim/uff-trondheim/
UFF,Spar 10%,https://studentkortet.no/rabatter/mote/klaer/uff-norge/
Universum,Karrieretest 2024,https://studentkortet.no/rabatter/tjenester/annet/universum/
VetZoo,10% rabatt,https://studentkortet.no/rabatter/mat/dyremat/vetzoo/
Viaplay,"Spar 336,-",https://studentkortet.no/rabatter/tjenester/annet/viaplay/
Vista,"Spar 150,-",https://studentkortet.no/rabatter/lokale/bergen/vista-bar-brasserie/
Vuxen,Spar 20%,https://studentkortet.no/rabatter/velvaere/erotikk/vuxen/
Wakakuu,Spar 10%,https://studentkortet.no/rabatter/mote/klaer/wakakuu/
Wings,Spar 20%,https://studentkortet.no/rabatter/lokale/oslo/wings-things/
YoursApp,Spar 70%,https://studentkortet.no/rabatter/boeker/annet/yoursapp/
Zalando,Spar 10%,https://studentkortet.no/rabatter/mote/klaer/zalando/
Zoo,Spar 12%,https://studentkortet.no/rabatter/mat/dyremat/zoo/
adidas,Spar 15%,https://studentkortet.no/rabatter/mote/klaer/adidas/
aim'n,Spar 15%,https://studentkortet.no/rabatter/velvaere/trening-friluft/aimn/
eStore,Spar 10%,https://studentkortet.no/rabatter/elektronikk/mobil/estore/